GEOID,NAME,total_popE,total_popM,median_incomeE,median_incomeM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,other_raceM,two_or_moreE,two_or_moreM,hispanicE,hispanicM,age_medianE,age_medianM
05031,"Craighead County, Arkansas",111038,NA,55169,2630,83513,773,18035,517,383,145,1357,180,22,37,2858,689,4870,854,6074,NA,34.4,0.2
05045,"Faulkner County, Arkansas",124611,NA,61273,3234,100955,656,14230,640,366,189,1302,268,13,20,2463,643,5282,793,5488,NA,33.8,0.3
05051,"Garland County, Arkansas",100021,NA,54229,2613,84455,706,7924,430,502,163,743,173,86,96,1521,555,4790,576,6204,NA,45.4,0.2
05069,"Jefferson County, Arkansas",66934,NA,46855,2150,25818,446,37460,482,85,60,523,179,269,228,954,307,1825,556,1590,NA,39.5,0.4
05085,"Lonoke County, Arkansas",74292,NA,68078,2801,64497,471,4108,327,153,134,758,129,93,87,936,362,3747,607,3590,NA,37,0.3
05119,"Pulaski County, Arkansas",398322,NA,58326,1739,209994,1597,148791,1305,1389,370,8976,409,143,42,10768,1312,18261,1768,25329,NA,37.7,0.2
05125,"Saline County, Arkansas",123988,NA,73236,3192,104854,760,10443,407,255,98,1413,230,82,126,2108,520,4833,838,6733,NA,40.3,0.4
05131,"Sebastian County, Arkansas",128184,NA,54047,2341,90210,795,7660,484,1236,271,5942,302,153,203,12162,1051,10821,1029,19387,NA,38,0.3
05143,"Washington County, Arkansas",247331,NA,61985,2353,174159,2543,8570,731,2256,604,6408,450,6582,398,17255,1757,32101,2750,42812,NA,32.3,0.2
05145,"White County, Arkansas",77118,NA,51144,3710,68350,545,3373,257,151,98,667,92,0,30,690,259,3887,570,3606,NA,38.3,0.6
06001,"Alameda County, California",1663823,NA,122488,1231,565911,3663,169497,2123,14165,1496,534659,2432,12832,571,201432,5086,165327,4933,369603,NA,38.4,0.2
06007,"Butte County, California",213605,NA,66085,2261,161779,1369,3862,289,2426,392,11182,595,680,112,11933,1190,21743,1313,38361,NA,36.5,0.3
06013,"Contra Costa County, California",1162648,NA,120020,1496,542206,3627,101345,1674,8354,1128,212568,2374,5802,452,148400,4821,143973,5287,306895,NA,40.1,0.2
06017,"El Dorado County, California",191713,NA,99246,3330,158083,1303,1405,222,1056,315,9945,454,330,110,6360,1299,14534,1015,25930,NA,46.2,0.2
06019,"Fresno County, California",1008280,NA,67756,967,483826,6138,45035,1335,13573,1628,108082,1520,1737,257,182307,5055,173720,5916,546774,NA,32.8,0.1
06023,"Humboldt County, California",136132,NA,57881,2131,102072,1061,1866,309,5521,538,4389,409,386,149,7506,1052,14392,1068,17129,NA,39.5,0.3
06025,"Imperial County, California",179578,NA,53847,2214,70860,3452,4608,316,2634,605,2710,198,59,39,62551,3370,36156,2969,153382,NA,32.6,0.3
06029,"Kern County, California",906883,NA,63883,1325,509039,6646,46915,1563,9970,1235,44904,1227,1708,397,140344,6513,154003,5774,501705,NA,32.2,0.1
06031,"Kings County, California",152515,NA,68540,2253,78680,2381,9848,638,2596,480,5943,448,375,175,31275,2079,23798,1719,85622,NA,32.1,0.2
06033,"Lake County, California",68024,NA,56259,2439,48251,854,1538,181,2032,410,923,211,199,79,9001,1035,6080,1001,15672,NA,44.5,0.3
06037,"Los Angeles County, California",9936690,NA,83411,439,3937901,15726,780993,4075,111096,4232,1473634,4986,23400,1000,2253956,17704,1355710,15512,4837594,NA,37.4,0.1
06039,"Madera County, California",157243,NA,73543,2844,77220,3017,4091,578,2046,700,3675,275,134,76,46527,3011,23550,2336,93855,NA,34.4,0.3
06041,"Marin County, California",260485,NA,142019,4098,192209,1610,6224,682,1131,414,16403,696,430,113,20727,1902,23361,1566,43143,NA,47.4,0.2
06045,"Mendocino County, California",91145,NA,61335,2198,67114,1504,658,302,3500,445,1961,177,86,63,6600,1097,11226,1256,24414,NA,43.7,0.4
06047,"Merced County, California",282290,NA,64772,2142,117491,3102,8329,483,3311,850,20601,606,796,89,104067,3636,27695,2443,174732,NA,31.5,0.2
06053,"Monterey County, California",437609,NA,91043,1900,173937,3275,9778,682,3430,713,25927,854,2138,342,174515,4464,47884,2993,261954,NA,35.1,0.1
06055,"Napa County, California",137384,NA,105809,2981,87333,1869,2520,237,1386,397,10960,453,422,119,18725,1652,16038,1320,48182,NA,42.5,0.3
06057,"Nevada County, California",102322,NA,79395,3823,90082,841,376,100,445,192,1641,325,149,100,1547,476,8082,808,10202,NA,50.2,0.1
06059,"Orange County, California",3175227,NA,109361,882,1594137,7219,53753,1648,19759,1690,688905,3465,9847,723,427775,7923,381051,8353,1077367,NA,38.7,0.2
06061,"Placer County, California",406608,NA,109375,1856,306615,2166,6579,665,1838,376,35465,918,626,115,14389,1450,41096,2293,60469,NA,42.3,0.2
06065,"Riverside County, California",2429487,NA,84505,1061,1138018,9081,157125,2260,23446,1743,166726,1991,8044,697,574403,10853,361725,9531,1233277,NA,36.3,0.1
06067,"Sacramento County, California",1579211,NA,84010,816,785699,4049,151960,2942,11842,1235,271712,2428,18052,792,151033,4252,188913,5439,378350,NA,36.8,0.2
06069,"San Benito County, California",64753,NA,104451,5461,34864,1530,617,105,1227,415,2078,319,125,60,8429,1241,17413,1457,39768,NA,35.7,0.2
06071,"San Bernardino County, California",2180563,NA,77423,806,975461,8969,171762,2853,25467,2208,169063,1886,7333,661,484024,9226,347453,9586,1200147,NA,33.9,0.2
06073,"San Diego County, California",3289701,NA,96974,993,1899871,9043,158553,2700,27270,2110,397687,3152,13721,935,302584,8199,490015,8985,1134647,NA,36.7,0.1
06075,"San Francisco County, California",851036,NA,136689,1954,356474,1961,44058,1268,4725,811,296122,1986,3312,334,65487,3075,80858,2881,131517,NA,39.3,0.2
06077,"San Joaquin County, California",779445,NA,82837,1448,328081,4451,54792,1324,7932,1267,133870,2094,4778,466,106602,4804,143390,6032,331382,NA,34.8,0.1
06079,"San Luis Obispo County, California",281712,NA,90158,2311,216354,2167,3486,406,2487,777,10652,905,431,117,14824,1827,33478,1917,65946,NA,40,0.3
06081,"San Mateo County, California",754250,NA,149907,2621,327625,3108,17238,765,6446,1269,230174,1564,9180,585,82367,4121,81220,3281,180393,NA,40.3,0.1
06083,"Santa Barbara County, California",445213,NA,92332,1889,270657,3398,8431,556,6107,1047,24327,642,562,192,55000,2993,80129,3390,207576,NA,34.3,0.2
06085,"Santa Clara County, California",1916831,NA,153792,1545,693455,5113,45838,1267,12641,1182,746381,2558,6993,714,192570,5179,218953,6236,476352,NA,37.7,0.1
06087,"Santa Cruz County, California",268571,NA,104409,3173,176572,2359,2839,517,2541,612,13163,600,595,156,40948,2790,31913,2088,91923,NA,39.2,0.3
06089,"Shasta County, California",181852,NA,68347,2480,148667,1059,1758,348,3234,356,5585,456,268,112,4810,703,17530,1249,19988,NA,41.7,0.4
06095,"Solano County, California",450995,NA,97037,1724,207575,2653,59699,1340,3273,739,70814,1459,4529,588,49978,2950,55127,2863,126198,NA,38.8,0.2
06097,"Sonoma County, California",488436,NA,99266,1988,330543,2326,7589,707,5200,884,21833,749,1605,323,66293,3164,55373,2924,136614,NA,42.7,0.1
06099,"Stanislaus County, California",552063,NA,74872,1371,316065,3998,15731,878,6802,1119,33212,1241,3326,529,70595,3977,106332,4987,268427,NA,34.5,0.1
06101,"Sutter County, California",99101,NA,72654,3425,53760,1378,1940,332,1609,460,16490,536,362,36,10863,1330,14077,1357,31993,NA,36,0.3
06103,"Tehama County, California",65484,NA,59029,4103,48781,1244,626,230,911,349,1236,129,28,30,4530,1187,9372,1355,17585,NA,40.3,0.6
06107,"Tulare County, California",473446,NA,64474,1489,240811,5044,7695,636,6492,1043,16955,607,718,234,117855,5215,82920,4511,312954,NA,31.5,0.2
06111,"Ventura County, California",842009,NA,102141,1528,544398,5373,15042,759,10595,1448,60951,1265,1760,321,70380,3554,138883,5053,367039,NA,39,0.2
06113,"Yolo County, California",217141,NA,85097,2333,127655,1908,5971,547,1628,386,32018,912,953,168,17605,1817,31311,2228,69989,NA,32,0.2
06115,"Yuba County, California",81705,NA,66693,2796,52705,1150,2906,358,1166,425,6360,332,417,148,6049,1097,12102,1214,24353,NA,33.5,0.3
08001,"Adams County, Colorado",520149,NA,86297,1295,342214,4614,18215,849,7260,1387,20574,981,836,172,48397,3534,82653,3884,215119,NA,34.4,0.1
08005,"Arapahoe County, Colorado",654453,NA,92292,1197,422330,2716,71815,1590,5520,806,40210,975,1613,274,40682,2674,72283,3231,132163,NA,37.1,0.2
08013,"Boulder County, Colorado",328658,NA,99770,2277,272193,1739,2802,413,1448,307,15161,544,196,72,9096,1215,27762,1955,45657,NA,37,0.2
08014,"Broomfield County, Colorado",73946,NA,117541,3337,60019,807,984,207,230,107,5156,254,0,30,1591,364,5966,739,9747,NA,38.6,0.3
08031,"Denver County, Colorado",710800,NA,85853,1295,467213,4188,63002,1333,5996,866,25450,936,827,269,58089,3246,90223,4221,207519,NA,34.9,0.1
08035,"Douglas County, Colorado",360206,NA,139010,1825,302851,1381,5272,502,1345,205,19296,626,245,138,6654,1027,24543,1414,34163,NA,39.3,0.3
08041,"El Paso County, Colorado",730323,NA,82748,1229,543305,2907,43818,1515,7107,1170,20261,949,2115,328,29113,1954,84604,3090,133004,NA,34.7,0.1
08059,"Jefferson County, Colorado",580519,NA,103167,1358,487122,1990,6641,542,3587,499,16688,659,410,119,16118,1525,49953,2211,91503,NA,40.2,0.2
08069,"Larimer County, Colorado",359363,NA,87199,2139,309396,1594,3447,414,2342,543,7631,503,320,71,7794,1056,28433,1569,43915,NA,36.3,0.2
08077,"Mesa County, Colorado",156131,NA,68077,2075,135709,1280,1111,236,1209,355,1562,278,60,61,2844,583,13636,1357,23635,NA,40.6,0.2
08101,"Pueblo County, Colorado",168135,NA,59436,1906,127996,1897,3379,307,4130,668,1451,198,64,47,12791,1453,18324,1426,73357,NA,39.8,0.3
08123,"Weld County, Colorado",331466,NA,89182,1677,265146,2714,4681,431,2563,658,5731,480,421,151,20551,1713,32373,2259,100586,NA,35,0.1
09110,"Capitol Planning Region, Connecticut",977165,NA,88190,1229,654037,3634,123631,2005,2550,527,57018,830,380,201,63134,3099,76415,3441,174513,NA,39.8,0.2
09120,"Greater Bridgeport Planning Region, Connecticut",326381,NA,83147,2305,213952,1947,39028,1001,930,395,17876,616,165,162,32292,2162,22138,1956,66469,NA,40.5,0.3
09130,"Lower Connecticut River Valley Planning Region, Connecticut",175244,NA,99742,2524,147012,872,8697,462,374,247,6041,279,8,13,2093,474,11019,1097,12296,NA,45.6,0.2
09140,"Naugatuck Valley Planning Region, Connecticut",451887,NA,82939,2047,311573,2524,52205,1558,878,374,18305,777,119,100,29072,2742,39735,2826,86177,NA,41.1,0.2
09150,"Northeastern Connecticut Planning Region, Connecticut",95687,NA,83119,2527,81504,828,1611,346,417,237,1369,173,63,53,3335,1132,7388,1137,11315,NA,41.7,0.6
09160,"Northwest Hills Planning Region, Connecticut",112696,NA,87971,2758,92804,902,5352,626,154,103,2811,267,0,31,3107,635,8468,976,12232,NA,45.1,0.4
09170,"South Central Connecticut Planning Region, Connecticut",571298,NA,83617,1663,385872,2908,76381,1327,1123,345,24389,673,269,169,41197,2999,42067,2592,107644,NA,39.9,0.2
09180,"Southeastern Connecticut Planning Region, Connecticut",280293,NA,80330,1765,221146,1371,16191,889,1300,323,10827,460,0,31,10025,1098,20804,1692,31878,NA,41.6,0.3
09190,"Western Connecticut Planning Region, Connecticut",620666,NA,118930,1895,414266,3124,62311,1475,1317,375,32309,651,341,176,49671,2963,60451,3828,124884,NA,41.1,0.2
10001,"Kent County, Delaware",182400,NA,69278,1968,112081,961,47504,1126,997,403,4233,304,86,74,3151,664,14348,1481,14162,NA,38.5,0.4
10003,"New Castle County, Delaware",570567,NA,85309,2377,334333,2242,144393,1600,1121,350,33239,625,188,46,21923,2025,35370,2007,61685,NA,39,0.2
10005,"Sussex County, Delaware",240668,NA,75406,1681,187830,1446,26369,717,1191,308,3098,220,91,91,7677,1359,14412,1449,22849,NA,51.3,0.2
11001,"District of Columbia, District of Columbia",670587,NA,101722,1569,265633,2124,297101,1999,2209,510,27067,736,420,69,30879,2202,47278,2412,77168,NA,34.8,0.1
12001,"Alachua County, Florida",279729,NA,57566,1488,181328,1377,54388,951,542,136,16697,657,164,56,5253,808,21357,1769,30387,NA,31.7,0.2
12005,"Bay County, Florida",181055,NA,65999,2086,141183,1048,18655,708,885,386,3684,359,263,52,4060,944,12325,1200,12980,NA,41.2,0.3
12009,"Brevard County, Florida",610723,NA,71308,1222,470655,2435,60125,1900,1553,483,14458,1014,460,103,15406,1779,48066,2741,69355,NA,47,0.2
12011,"Broward County, Florida",1940907,NA,70331,780,925110,6621,550613,3618,4315,651,71277,1289,1202,198,88563,4110,299827,7471,610462,NA,41,0.1
12015,"Charlotte County, Florida",189900,NA,62164,1688,162761,962,9794,456,298,133,2442,204,86,66,3367,835,11152,1100,15266,NA,59.9,0.3
12017,"Citrus County, Florida",155173,NA,52569,2000,139269,813,3586,661,526,176,2140,302,42,46,1893,520,7717,896,9981,NA,56.9,0.2
12019,"Clay County, Florida",219650,NA,82242,2922,162097,1228,25218,1225,231,139,6279,507,58,64,7429,1503,18338,1700,23711,NA,39.9,0.4
12021,"Collier County, Florida",380221,NA,82011,1934,278439,2924,24553,723,2831,1039,5370,359,108,119,13381,1698,55539,3125,108822,NA,52.2,0.2
12023,"Columbia County, Florida",69832,NA,53501,3291,51489,533,11759,474,122,82,661,158,21,32,1663,523,4117,644,4730,NA,40.7,0.4
12031,"Duval County, Florida",995708,NA,65579,1206,544487,3144,290585,2393,1999,355,46991,1452,729,267,33095,3035,77822,3291,109800,NA,36.6,0.1
12033,"Escambia County, Florida",321296,NA,61642,1340,209744,974,69606,1490,921,218,9694,705,307,108,5976,998,25048,2038,19636,NA,38.1,0.3
12035,"Flagler County, Florida",117515,NA,69251,2857,91349,857,10786,453,166,116,2911,397,132,173,4576,995,7595,1015,13212,NA,52.4,0.3
12053,"Hernando County, Florida",196621,NA,59202,1456,158612,1428,10210,603,516,152,2451,302,211,203,7987,1373,16634,1443,30693,NA,48.5,0.2
12055,"Highlands County, Florida",102339,NA,53679,2624,76633,1198,9380,431,504,368,1440,133,18,22,6651,1060,7713,1014,22050,NA,54.1,0.3
12057,"Hillsborough County, Florida",1468560,NA,70612,909,864562,6062,241312,2705,4946,942,62784,1324,1262,446,90067,4510,203627,5998,439450,NA,37.6,0.1
12061,"Indian River County, Florida",160986,NA,67543,2000,127687,1338,13146,720,745,314,2475,346,55,81,4442,998,12436,1455,21240,NA,54.8,0.1
12069,"Lake County, Florida",386829,NA,66239,1779,285523,2413,39249,1983,1042,472,8116,558,568,114,10966,1493,41365,2964,67297,NA,46.9,0.2
12071,"Lee County, Florida",772902,NA,69368,834,574580,4002,62126,1457,1782,538,12868,527,504,106,32110,2694,88932,4188,178802,NA,49.1,0.1
12073,"Leon County, Florida",294128,NA,61317,1523,170168,839,91031,1092,467,319,10348,394,129,65,5099,881,16886,1274,20385,NA,31.4,0.2
12081,"Manatee County, Florida",405069,NA,71385,1814,316986,2524,32860,917,1389,644,8935,472,157,103,12788,1554,31954,2546,68333,NA,49.4,0.1
12083,"Marion County, Florida",378225,NA,55265,1592,281422,2686,46704,1228,610,191,5980,549,54,43,10842,1908,32613,2804,56818,NA,48.5,0.2
12085,"Martin County, Florida",159399,NA,77894,2073,132109,1597,8637,545,172,150,2462,227,3,9,4957,1190,11059,1208,22778,NA,53.2,0.2
12086,"Miami-Dade County, Florida",2688237,NA,64215,717,1259156,10841,426417,3204,6450,1419,41646,947,544,194,170507,6029,783517,11068,1848739,NA,40.6,0.2
12087,"Monroe County, Florida",82044,NA,80111,3496,62079,881,5716,418,49,40,893,156,136,150,2721,649,10450,983,21068,NA,48.3,0.2
12089,"Nassau County, Florida",91538,NA,84085,2786,80013,577,5013,350,237,84,939,204,28,36,1400,516,3908,686,4579,NA,46.3,0.5
12091,"Okaloosa County, Florida",212021,NA,73988,2524,158058,1122,19991,798,682,300,7151,481,591,439,7581,1006,17967,1400,21317,NA,37.1,0.3
12095,"Orange County, Florida",1427403,NA,72629,1122,731351,7501,291433,3746,4004,957,75431,1411,1348,402,105409,6242,218427,8217,469883,NA,35.9,0.2
12097,"Osceola County, Florida",393745,NA,64312,1799,195489,5236,42932,1949,1497,958,10794,673,242,256,77308,6411,65483,5383,220780,NA,36.6,0.2
12099,"Palm Beach County, Florida",1494805,NA,76066,1097,919163,5914,276750,2875,3486,779,42126,948,847,242,78700,4179,173733,6970,350700,NA,45.2,0.1
12101,"Pasco County, Florida",569211,NA,63187,1384,444803,2657,34035,1407,1407,340,16234,627,362,120,19389,2096,52981,2743,99192,NA,43.9,0.1
12103,"Pinellas County, Florida",959918,NA,66406,929,738122,2404,96357,1405,2156,512,33912,756,809,155,19716,2079,68846,2722,99956,NA,48.8,0.1
12105,"Polk County, Florida",736229,NA,60901,1004,474356,4416,109389,1726,2190,545,12972,730,302,175,69935,4554,67085,3737,192804,NA,39.8,0.2
12107,"Putnam County, Florida",73604,NA,44852,2826,54928,680,11620,365,182,85,431,99,0,35,741,316,5702,784,7727,NA,45.1,0.1
12109,"St. Johns County, Florida",278722,NA,100020,3732,232319,1763,15352,778,335,174,8721,488,174,162,4227,1070,17594,1748,22235,NA,44,0.2
12111,"St. Lucie County, Florida",334682,NA,66154,1598,211265,2868,68373,1429,1143,558,6691,338,176,86,14295,2411,32739,2817,69088,NA,45.3,0.1
12113,"Santa Rosa County, Florida",188994,NA,84715,2928,155936,1047,11060,699,490,174,3785,552,398,127,3815,889,13510,1255,11652,NA,40,0.5
12115,"Sarasota County, Florida",439392,NA,77213,1558,378003,1689,18724,915,1009,384,7881,437,142,41,7754,991,25879,1595,43353,NA,57.1,0.2
12117,"Seminole County, Florida",471321,NA,79490,1995,311064,3009,55496,1482,1043,436,23898,715,186,105,27127,2618,52507,3248,108146,NA,39.6,0.2
12119,"Sumter County, Florida",131832,NA,70105,3601,114749,680,9332,354,315,150,1431,108,6,16,2646,568,3353,536,8062,NA,68.3,0.2
12127,"Volusia County, Florida",558520,NA,63075,1287,416566,2260,59935,1157,1194,354,10398,542,135,67,39429,2220,30863,2458,87375,NA,46.5,0.2
12131,"Walton County, Florida",76618,NA,74832,5234,65723,594,2816,507,493,265,847,179,0,35,2224,551,4515,663,5067,NA,44.4,0.4
13013,"Barrow County, Georgia",84399,NA,75053,4326,60747,955,10655,384,324,132,3558,136,10,19,2920,528,6185,895,11133,NA,36.2,0.3
13015,"Bartow County, Georgia",109410,NA,74812,2721,87427,1094,11887,526,250,167,1204,222,126,34,2783,964,5733,983,10489,NA,38.2,0.4
13021,"Bibb County, Georgia",156554,NA,48897,2041,58258,768,85028,956,210,178,3428,170,39,39,3244,860,6347,945,5853,NA,36.5,0.3
13031,"Bulloch County, Georgia",79829,NA,53675,2647,50820,395,22101,457,334,228,1247,124,271,361,753,306,4303,594,3550,NA,29.7,0.2
13045,"Carroll County, Georgia",120060,NA,66895,3720,85441,976,24231,408,895,474,1041,190,0,34,3305,1111,5147,823,8950,NA,35.2,0.2
13047,"Catoosa County, Georgia",68052,NA,68896,3615,61163,487,1546,311,150,126,1042,120,35,48,1071,463,3045,637,2308,NA,40.8,0.4
13051,"Chatham County, Georgia",296266,NA,66171,1716,145541,1392,119042,1347,668,279,8618,482,418,139,7168,1648,14811,1691,20098,NA,36.7,0.2
13057,"Cherokee County, Georgia",268567,NA,100824,2363,216897,1913,19078,860,1955,670,5374,367,134,65,8477,1593,16652,1636,29950,NA,39.7,0.4
13059,"Clarke County, Georgia",128864,NA,48692,2464,76090,1021,34353,743,587,322,5252,258,36,43,4062,942,8484,993,14220,NA,28.9,0.2
13063,"Clayton County, Georgia",296312,NA,56207,2153,37502,1668,207916,1713,507,220,15178,259,286,50,15865,2140,19058,2451,39824,NA,33,0.2
13067,"Cobb County, Georgia",765813,NA,94244,1802,404625,3584,210450,2051,2921,812,42702,798,379,111,46856,3314,57880,2922,103006,NA,37.2,0.2
13073,"Columbia County, Georgia",156921,NA,92571,3536,108715,995,26560,1125,375,252,6850,540,5,9,4017,839,10399,1451,11504,NA,37.4,0.5
13077,"Coweta County, Georgia",147449,NA,90031,2892,107301,721,26607,756,299,153,2814,314,3,4,2666,648,7759,1133,11189,NA,39.1,0.4
13089,"DeKalb County, Georgia",761209,NA,76044,1458,242659,2026,401702,2142,5129,949,47369,805,561,169,19346,2113,44443,2865,64968,NA,36.3,0.2
13095,"Dougherty County, Georgia",85038,NA,45640,1246,20720,275,59469,518,158,107,700,161,34,51,1552,379,2405,558,2685,NA,36.2,0.4
13097,"Douglas County, Georgia",144735,NA,76930,2793,56989,1120,70829,1298,198,104,2706,151,0,34,5103,1130,8910,1696,15512,NA,36.7,0.2
13103,"Effingham County, Georgia",65314,NA,79474,3492,50603,654,8968,391,86,67,443,145,109,169,1278,458,3827,733,3597,NA,36.4,0.3
13113,"Fayette County, Georgia",119259,NA,105910,2977,73107,1119,29734,628,119,110,5571,385,163,185,4114,1280,6451,822,9219,NA,43.2,0.4
13115,"Floyd County, Georgia",98541,NA,57868,3066,73157,827,13723,457,580,461,1309,153,62,74,3354,905,6356,1077,11647,NA,38,0.4
13117,"Forsyth County, Georgia",253225,NA,131660,2258,176237,1284,10391,637,867,523,42032,678,31,54,6131,1077,17536,1509,24347,NA,39.2,0.2
13121,"Fulton County, Georgia",1061944,NA,86267,1215,435440,2916,460792,2337,2445,523,80637,1053,286,104,29093,2825,53251,3344,77523,NA,36.1,0.1
13127,"Glynn County, Georgia",84566,NA,65970,2678,56354,722,20902,645,284,105,1014,319,92,93,1791,614,4129,823,5782,NA,43.3,0.5
13135,"Gwinnett County, Georgia",957977,NA,82296,1577,377684,4190,272622,2515,4487,995,122104,1198,643,484,91331,4490,89106,5017,209070,NA,35.7,0.1
13139,"Hall County, Georgia",204953,NA,74153,2650,147504,2242,14002,548,657,286,4199,260,21,26,13380,1976,25190,2349,60087,NA,37.8,0.3
13151,"Henry County, Georgia",240853,NA,79663,2089,95873,1595,117193,1393,350,190,8048,360,11,127,3457,921,15921,1685,18331,NA,36.9,0.3
13153,"Houston County, Georgia",164117,NA,76968,4298,92377,884,51974,1031,670,421,5390,515,267,256,2346,736,11093,1460,11108,NA,36.1,0.3
13157,"Jackson County, Georgia",77033,NA,82056,4488,63289,630,5478,414,51,77,1364,223,27,38,2569,717,4255,723,7104,NA,37.9,0.6
13179,"Liberty County, Georgia",65550,NA,55149,2670,26965,502,26952,839,355,213,1230,186,313,9,2463,493,7272,995,8300,NA,28.6,0.3
13185,"Lowndes County, Georgia",118257,NA,52821,2045,63660,612,43641,474,632,336,2312,398,167,124,2384,452,5461,758,7360,NA,30.9,0.2
13215,"Muscogee County, Georgia",204572,NA,54561,1724,83003,1122,95323,1169,238,118,5279,381,315,93,6435,1276,13979,1449,16356,NA,34.9,0.1
13217,"Newton County, Georgia",113298,NA,70732,2582,50829,1044,53072,992,92,37,1619,93,0,34,2130,1020,5556,1291,7145,NA,36.4,0.3
13223,"Paulding County, Georgia",169898,NA,89237,3478,116984,1259,35663,1292,336,281,1882,390,265,353,3440,710,11328,1836,12894,NA,36.6,0.3
13245,"Richmond County, Georgia",206153,NA,50605,2478,71015,830,115235,1528,252,104,3659,475,148,81,3907,950,11937,1528,10963,NA,34.8,0.1
13247,"Rockdale County, Georgia",93641,NA,68999,2772,30027,900,53623,965,255,147,1703,197,277,346,2492,771,5264,1109,9789,NA,39,0.4
13255,"Spalding County, Georgia",67415,NA,57367,3966,39829,513,23260,494,309,202,597,153,0,34,746,335,2674,716,3444,NA,38.9,1
13285,"Troup County, Georgia",69527,NA,53599,1882,39707,346,25176,549,61,55,1667,127,0,34,1364,365,1552,529,2712,NA,37.2,0.5
13295,"Walker County, Georgia",68065,NA,52276,2554,62089,368,2711,290,144,76,378,179,5,10,343,192,2395,485,1811,NA,42,0.5
13297,"Walton County, Georgia",97752,NA,79425,3517,72371,564,18920,399,152,158,1430,368,21,35,2081,694,2777,498,5282,NA,39.4,0.5
13313,"Whitfield County, Georgia",103033,NA,59659,3701,79165,1965,3383,348,1936,1055,1595,115,25,33,9269,1415,7660,1187,37885,NA,36.4,0.3
15001,"Hawaii County, Hawaii",202163,NA,74238,2166,63416,830,1604,212,974,509,43804,2030,24431,1377,4498,1079,63436,2629,27543,NA,43.3,0.2
15003,"Honolulu County, Hawaii",1010100,NA,99816,1259,195246,1667,25438,897,2441,362,426815,3423,101542,2197,15556,1393,243062,4085,103393,NA,38.8,0.1
15007,"Kauai County, Hawaii",73511,NA,88869,4471,22274,284,386,168,156,60,21620,1094,7225,468,970,246,20880,1273,8501,NA,42.3,0.4
15009,"Maui County, Hawaii",164765,21,95379,3268,52341,723,1236,193,630,177,46725,1592,17593,774,3479,935,42761,2141,19580,11,42.2,0.3
16001,"Ada County, Idaho",497494,NA,83881,1783,429014,1811,6260,619,2938,708,12867,819,1081,176,11544,1341,33790,1932,44317,NA,38.1,0.2
16005,"Bannock County, Idaho",87434,NA,60998,3324,75035,655,866,183,2243,348,1687,240,203,92,2390,429,5010,627,8188,NA,34.7,0.1
16019,"Bonneville County, Idaho",124490,NA,73103,1869,108179,1199,496,256,779,254,1162,215,27,39,6740,1131,7107,790,17147,NA,33.2,0.3
16027,"Canyon County, Idaho",235006,NA,68473,1410,179575,2419,1435,312,2608,694,1817,251,675,400,27028,2451,21868,2384,60405,NA,34.4,0.2
16055,"Kootenai County, Idaho",173396,NA,71949,2241,155469,1392,507,149,1604,282,1256,313,185,155,2392,789,11983,1359,9046,NA,40.7,0.3
16083,"Twin Falls County, Idaho",90592,NA,61183,3468,75594,1212,494,145,468,219,1429,296,3,9,4701,1069,7903,1022,15765,NA,35.5,0.2
17019,"Champaign County, Illinois",206525,NA,61090,1625,141142,904,27268,899,251,137,22693,429,88,76,3282,725,11801,1190,13328,NA,30.8,0.1
17031,"Cook County, Illinois",5225367,NA,78304,571,2580789,9239,1189365,3291,31616,2703,402605,2725,2500,610,550678,10622,467814,10428,1352482,NA,37.5,0.1
17037,"DeKalb County, Illinois",100686,NA,68617,2335,79772,690,7734,395,418,214,2424,284,25,40,3757,577,6556,834,12356,NA,31.8,0.2
17043,"DuPage County, Illinois",930559,NA,107035,1258,651437,2512,45625,1012,2746,718,116819,1171,361,182,42819,2507,70752,3022,137806,NA,39.9,0.2
17089,"Kane County, Illinois",517254,NA,96400,1741,341764,3374,27003,1115,4357,976,20287,795,594,244,65105,3488,58144,3592,168609,NA,38.3,0.2
17091,"Kankakee County, Illinois",107421,NA,65489,2802,81215,701,15614,476,502,300,1042,138,0,29,3255,530,5793,913,12337,NA,38.9,0.4
17093,"Kendall County, Illinois",132795,NA,106358,3259,97711,1669,10688,719,359,227,3957,461,0,29,7349,1703,12731,1637,27907,NA,36.1,0.3
17097,"Lake County, Illinois",713159,NA,104553,1459,478742,3898,48314,1199,5132,960,60362,722,365,141,53132,2893,67112,3701,162456,NA,38.7,0.2
17099,"LaSalle County, Illinois",109495,NA,67942,2145,96672,612,3014,287,40,24,970,163,19,21,3793,625,4987,581,11465,NA,41.9,0.4
17111,"McHenry County, Illinois",311133,NA,100101,2306,267635,2071,4787,537,564,208,8899,460,12,18,6535,1012,22701,2084,44625,NA,40.5,0.2
17113,"McLean County, Illinois",171284,NA,75356,2591,138660,713,14542,423,312,111,8684,296,27,28,1812,398,7247,759,9103,NA,34,0.2
17115,"Macon County, Illinois",103542,NA,59622,2177,78722,271,17634,659,32,23,1400,145,69,93,873,268,4812,687,2614,NA,40.7,0.3
17119,"Madison County, Illinois",265512,NA,71759,1511,225706,772,22743,742,377,161,2547,317,35,39,2092,499,12012,1101,9729,NA,39.9,0.2
