GEOID,NAME,total_popE,total_popM,median_incomeE,median_incomeM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,other_raceM,two_or_moreE,two_or_moreM,hispanicE,hispanicM,age_medianE,age_medianM
51019,"Bedford County, Virginia",79761,NA,74773,3274,69564,528,4925,352,53,50,1010,160,0,31,981,413,3228,602,2079,NA,46.8,0.4
51041,"Chesterfield County, Virginia",366019,NA,95757,2126,226434,1600,86495,1182,824,284,12831,581,280,158,19489,1620,19666,1763,36094,NA,38.9,0.2
51059,"Fairfax County, Virginia",1145354,NA,145165,1677,620521,3419,113057,1212,4447,965,231660,1714,691,129,69956,3127,105022,4167,189282,NA,38.6,0.1
51061,"Fauquier County, Virginia",73290,NA,122785,6626,60832,647,4844,397,171,109,1318,126,21,34,1127,368,4977,700,7224,NA,40.8,0.6
51069,"Frederick County, Virginia",92007,NA,92443,4614,79098,907,3902,316,344,293,1794,181,90,31,2769,854,4010,629,9317,NA,40.6,0.3
51085,"Hanover County, Virginia",110513,NA,104678,3515,91983,525,9591,510,187,86,1877,259,98,85,1457,364,5320,619,3667,NA,42.4,0.3
51087,"Henrico County, Virginia",333120,NA,82424,1734,175515,1107,98712,972,662,229,31395,690,119,98,9267,1289,17450,1475,20442,NA,39.3,0.2
51095,"James City County, Virginia",78818,NA,100711,4670,59872,517,9956,376,32,39,2012,218,22,30,1372,627,5552,696,5022,NA,47.1,0.4
51107,"Loudoun County, Virginia",420773,NA,170463,3497,241853,1658,32190,875,1181,251,86676,1260,307,57,18824,1821,39742,2435,58198,NA,37.3,0.2
51121,"Montgomery County, Virginia",99373,NA,65270,3554,83364,499,4054,290,286,115,6457,515,142,138,1518,493,3552,610,3519,NA,29.7,0.1
51153,"Prince William County, Virginia",481114,NA,123193,2696,241644,3339,99551,1288,2666,656,46608,863,476,143,37653,3020,52516,3328,120125,NA,35.8,0.1
51161,"Roanoke County, Virginia",96653,NA,80872,1889,82697,535,5905,310,358,246,3471,242,65,53,888,359,3269,552,3402,NA,43.6,0.4
51165,"Rockingham County, Virginia",83905,NA,73232,2332,75412,586,2032,221,87,69,754,151,50,44,1422,409,4148,614,6561,NA,40.5,0.5
51177,"Spotsylvania County, Virginia",141097,NA,105068,4750,96233,843,23673,761,316,152,3864,341,84,72,7264,862,9663,1130,15971,NA,38.1,0.3
51179,"Stafford County, Virginia",157606,NA,128036,4073,94088,1188,29922,1079,404,234,5924,524,19,23,11938,1413,15311,1633,23520,NA,36.4,0.2
51199,"York County, Virginia",70238,NA,105154,3549,49774,443,9227,399,102,58,3903,316,98,118,979,288,6155,654,5100,NA,39.7,0.5
51510,"Alexandria city, Virginia",157594,NA,113179,2531,89304,1205,33645,732,423,249,10066,499,37,39,8402,1220,15717,1534,26092,NA,37.4,0.2
51550,"Chesapeake city, Virginia",249377,NA,92703,2198,142840,1374,73034,1147,417,278,9179,592,144,110,5977,1070,17786,1586,17578,NA,37.4,0.2
51650,"Hampton city, Virginia",137217,NA,64430,1991,53076,638,67213,1222,396,137,2862,310,116,63,2721,697,10833,1102,9028,NA,36.5,0.2
51680,"Lynchburg city, Virginia",79166,NA,56243,2807,49660,551,21824,411,276,182,1741,271,151,132,1577,581,3937,530,3688,NA,28.4,0.2
51700,"Newport News city, Virginia",185118,NA,63355,2100,81623,943,76203,1035,336,145,6431,309,240,192,4874,1019,15411,1454,18290,NA,34.1,0.2
51710,"Norfolk city, Virginia",236973,NA,60998,1879,106209,869,96487,1016,961,235,9017,330,409,141,7927,950,15963,1188,20688,NA,32.2,0.2
51740,"Portsmouth city, Virginia",97384,NA,57154,2467,36682,347,50091,924,404,164,1390,232,62,56,1934,456,6821,1017,4879,NA,35.6,0.2
51760,"Richmond city, Virginia",227171,NA,59606,2362,101368,908,99855,820,355,128,5128,324,108,92,7487,892,12870,1051,17306,NA,34.5,0.1
51770,"Roanoke city, Virginia",99213,NA,51523,2303,58589,599,29140,634,105,58,3199,247,98,93,1698,482,6384,812,6838,NA,38.1,0.4
51800,"Suffolk city, Virginia",94856,NA,87758,3707,46146,445,39413,645,293,285,1790,235,0,31,1631,427,5583,897,4573,NA,38.5,0.3
51810,"Virginia Beach city, Virginia",457900,NA,87544,1964,287415,1249,86497,1265,1100,250,32680,913,607,218,10628,1428,38973,1916,40139,NA,37.1,0.2
53005,"Benton County, Washington",207560,NA,83778,1849,157190,1692,3652,417,1538,432,6413,463,477,84,18034,1738,20256,1860,48824,NA,36.1,0.2
53007,"Chelan County, Washington",79076,NA,71876,4147,55416,833,401,120,591,160,635,137,32,26,15051,1186,6950,909,22645,NA,40.1,0.4
53009,"Clallam County, Washington",77333,NA,66108,2368,64701,628,705,181,2995,264,1336,208,14,21,1608,454,5974,618,5553,NA,51.2,0.3
53011,"Clark County, Washington",504091,NA,90115,1650,400592,2023,10122,843,3280,574,23465,858,3835,629,15880,1740,46917,2276,54176,NA,38.8,0.2
53015,"Cowlitz County, Washington",110621,NA,70912,2483,95070,872,832,248,1687,582,1368,195,310,166,2438,616,8916,863,10851,NA,40.8,0.4
53021,"Franklin County, Washington",96692,NA,77877,3943,54722,1822,2226,423,1773,1006,1817,329,199,93,20764,2374,15191,2111,52100,NA,30.6,0.2
53025,"Grant County, Washington",99145,NA,66387,4186,61533,1486,1024,216,1571,572,1019,178,14,21,23197,1854,10787,1438,42453,NA,33.2,0.3
53027,"Grays Harbor County, Washington",75672,NA,59105,2791,62047,716,1060,171,2904,307,906,182,285,57,2553,677,5917,647,8186,NA,44.4,0.2
53029,"Island County, Washington",86510,NA,82850,2941,70008,599,2220,357,936,201,4030,323,325,108,1966,590,7025,740,7380,NA,44.2,0.3
53033,"King County, Washington",2254371,NA,116340,862,1325673,3386,146998,2445,14696,1372,437540,3323,16712,660,102269,3804,210483,5842,228873,NA,37.2,0.1
53035,"Kitsap County, Washington",275411,NA,93675,2257,213401,1050,7468,664,2891,383,13188,767,2673,185,7183,1032,28607,1351,23470,NA,39.7,0.2
53041,"Lewis County, Washington",82663,NA,67247,2762,70154,622,516,105,754,195,934,241,170,47,2230,487,7905,672,9220,NA,42.4,0.3
53045,"Mason County, Washington",66053,NA,74388,4042,52614,633,684,154,1386,326,699,162,318,94,4254,779,6098,643,7308,NA,45.1,0.2
53053,"Pierce County, Washington",918993,NA,91486,1193,624753,2252,65366,1783,10783,941,60762,1651,14346,705,30241,2174,112742,3735,109492,NA,36.5,0.2
53057,"Skagit County, Washington",129480,NA,82029,2066,101449,1113,1178,238,2358,615,2657,245,327,243,12431,1302,9080,928,24928,NA,41.5,0.3
53061,"Snohomish County, Washington",828337,NA,104083,1334,570661,2820,28662,1065,7819,846,101576,1526,3906,564,35079,2957,80634,3173,91866,NA,38.3,0.2
53063,"Spokane County, Washington",538711,NA,70394,1091,456827,1457,10292,814,5726,627,12004,825,3356,209,9233,883,41273,1844,34750,NA,38,0.2
53067,"Thurston County, Washington",294272,NA,88895,2161,223695,1614,9218,738,3166,439,16894,861,2885,209,6259,1100,32155,1677,29062,NA,39.5,0.3
53073,"Whatcom County, Washington",226523,NA,77581,2536,181059,1182,2091,361,4738,449,10044,519,635,129,9116,1219,18840,1343,22969,NA,37.8,0.3
53077,"Yakima County, Washington",256143,NA,64910,2209,151432,3118,2332,291,8433,758,2751,312,1106,468,44174,3088,45915,3702,131119,NA,33,0.2
54003,"Berkeley County, West Virginia",123283,NA,73619,1970,103566,785,8360,653,108,68,1296,264,18,33,2649,705,7286,848,6432,NA,38.8,0.4
54011,"Cabell County, West Virginia",93965,NA,48944,3441,84632,257,4089,424,119,66,1205,197,4,6,405,192,3511,504,1407,NA,39.1,0.2
54033,"Harrison County, West Virginia",65862,NA,56184,1997,61644,312,862,192,69,53,468,63,18,19,243,113,2558,368,1188,NA,42.4,0.3
54039,"Kanawha County, West Virginia",179895,NA,55226,1650,157101,647,12020,684,169,67,2138,155,180,204,401,172,7886,940,2101,NA,43.6,0.2
54061,"Monongalia County, West Virginia",105988,NA,60893,2620,93518,387,3660,290,44,42,3583,219,1,3,1029,370,4153,454,2413,NA,32.2,0.2
54081,"Raleigh County, West Virginia",74303,NA,47975,4663,65247,412,5406,385,4,8,542,135,3,12,347,279,2754,502,1211,NA,42.6,0.4
54107,"Wood County, West Virginia",84272,NA,54350,2665,80313,249,1029,151,135,89,491,103,82,60,95,74,2127,325,1209,NA,43.8,0.3
55009,"Brown County, Wisconsin",268393,NA,74066,1535,219486,1258,7100,529,5207,490,8488,528,74,48,8577,1133,19461,1622,25363,NA,37.8,0.2
55017,"Chippewa County, Wisconsin",66254,NA,69815,2847,62057,139,1011,114,210,81,940,113,1,2,176,101,1859,239,1257,NA,41.4,0.4
55025,"Dane County, Wisconsin",559891,NA,84297,1578,450875,1421,28235,1003,1287,283,33227,839,340,220,8312,1157,37615,2121,37996,NA,35.5,0.1
55027,"Dodge County, Wisconsin",89032,NA,71747,1661,81061,469,2287,297,253,102,560,122,47,46,878,295,3946,589,4904,NA,42.7,0.3
